                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5292,                 2.0214,                  1.763,                0.80706,                 0.8366,                0.87996,                0.60074,                 1.1399,                 0.9611,                 1.1667,              0.0033309,              0.0033309,              0.0033309
                      2,                0.85827,                0.91975,                 1.0309,                0.92056,                0.90943,                0.96414,                0.84657,                0.52826,                0.61378,                0.87255,              0.0065982,              0.0065982,              0.0065982
                      3,                0.78138,                0.73067,                 0.9757,                 0.9573,                0.94867,                0.98431,                 0.8706,                0.50527,                0.48196,                 0.8563,              0.0097996,              0.0097996,              0.0097996
                      4,                0.68529,                0.59239,                0.93689,                0.97493,                0.96851,                0.99069,                0.90612,                0.43109,                0.35518,                0.82115,               0.009703,               0.009703,               0.009703
                      5,                0.61103,                0.50115,                0.90815,                0.97619,                0.97241,                0.99129,                0.91504,                0.39971,                0.31875,                0.80803,               0.009703,               0.009703,               0.009703
                      6,                0.55959,                 0.4459,                0.88999,                0.97981,                0.97692,                0.99228,                0.92522,                0.37635,                0.28343,                0.79775,               0.009604,               0.009604,               0.009604
                      7,                0.52677,                0.41242,                0.87837,                0.98192,                0.97838,                0.99233,                0.93895,                0.34844,                 0.2596,                0.78638,               0.009505,               0.009505,               0.009505
                      8,                0.50566,                0.38932,                0.87075,                0.98615,                0.98216,                0.99365,                0.93762,                0.35287,                0.24571,                0.78368,               0.009406,               0.009406,               0.009406
                      9,                0.48848,                0.36906,                0.86431,                0.98946,                0.98794,                 0.9941,                0.94135,                0.34261,                0.22621,                0.78072,               0.009307,               0.009307,               0.009307
                     10,                0.47406,                0.35381,                 0.8601,                0.98991,                0.98815,                0.99408,                0.94587,                 0.3338,                0.21922,                0.77886,               0.009208,               0.009208,               0.009208
                     11,                0.46484,                0.34647,                0.85595,                0.99075,                0.98945,                0.99422,                0.95067,                0.32259,                0.20724,                0.77114,               0.009109,               0.009109,               0.009109
